a, 62
aaa, 44
aaaah, -46
aaarh, 24
aaem, 14
aah, 51
aake, 4
aalglatten, 26
aaraaf, 25
aaron, 39
aaronites, 53
aarons, 51
aatris, 62
aatu, 171
ab, 81
aba, 2
aback, 70
abacus, 17
abad, -25
abaddon, 49
abadejo, 41
abades, 19
abadesa, -41
abaft, 58
abagtha, 90
abaht, 50
abaisse, 26
abaissiez, 128
abaj, 27
abaja, -30
abajan, -34
abajarse, 14
abajen, 12
abajo, 17
abal, -7
aban, 4
abana, 54
abandon, 40
abandonarme, -24
abandond, 13
abandoned, 48
abandonedly, 73
abandoning, 55
abandonment, 53
abandons, 44
abantes, 17
abantian, 67
abarbarea, 18
abare, 57
abares, 44
abarian, 13
abarim, 47
abarraganada, 18
abarraganados, 18
abart, 18
abas, 75
abase, 49
abased, 35
abasement, 48
abash, 42
abashed, 59
abasht, 56
abasing, 40
abassin, 62
abat, 26
abatanar, -6
abate, 45
abated, 39
abatement, 45
abatements, 32
abaten, 1
abates, 51
abatido, 0
abatiendo, -7
abatieres, -28
abatieron, -40
abating, 42
abatis, 38
abattoir, 44
abattoirs, 39
abb, 45
abba, 40
abbadon, 34
abbana, 95
abbas, 102
abbate, 94
abbatial, 18
abbaye, 30
abbe, 46
abbekommen, -15
abberations, 92
abberent, 58
abbes, 58
abbess, 47
abbeville, 52
abbey, 46
abbeyland, 17
abbeys, 58
abbico, 45
abbominable, 54
abbot, 52
abbots, 58
abbotsbury, 32
abbreviate, 9
abbreviated, 48
abbreviating, 60
abbreviation, 34
abbreviations, 28
abc, 27
abd, 33
abda, 19
abdeel, 30
abdera, 56
abdi, 35
abdias, 92
abdicate, 30
abdicated, 53
abdicates, 56
abdicating, 35
abdication, 42
abdiel, 53
abdita, 83
abdol, 10
abdomen, 39
abdomens, 69
abdominal, 52
abdon, 43
abducendus, 104
abducere, 55
abducted, 34
abducting, 17
abduction, 46
abductors, 36
abducts, 67
abdy, 28
abe, 60
abeakuta, 78
abeakutic, 59
abeam, 49
abear, 23
abeat, 84
abecedarian, 29
abecedario, -10
abed, 45
abednego, 48
abeilard, 23
abeille, 29
abejas, 26
abel, 47
abela, 82
abelard, 21
abelbethmaachah, 49
abelmaim, 19
abelmeholah, 46
abelmizraim, 32
abels, 33
abelshittim, 31
abencerraje, 23
abend, -55
abends, -67
abenteuer, -51
aber, -38
abercrombie, 103
aberdeen, 59
aberenjenado, -20
aberga, 27
abergavenny, 46
abernethy, 48
abernetty, 45
abernuncio, 40
aberration, 46
aberrations, 61
abertura, -5
abest, 104
abet, 35
abets, 11
abetted, 44
abetting, 49
abettor, 37
abettors, 23
abeyance, 30
abez, 36
abf, -81
abfuhr, -69
abfxustgrnogrkzu, 53
abgab, -72
abgegriffen, -59
abgehen, -35
abgeholt, -48
abgeht, -26
abgerackerte, 39
abgerichtet, -56
abgesehen, -58
abgestochenes, -41
abgewendetem, -43
abgriff, -55
abhira, 45
abhominable, 27
abhor, 42
abhorr, 43
abhorrd, 24
abhorre, 50
abhorred, 43
abhorrence, 41
abhorrent, 38
abhorrentem, 45
abhorrest, 26
abhorreth, 31
abhorring, 50
abhors, 39
abhorson, 53
abi, 32
abia, 45
abiah, 62
abialbon, 88
abiasaph, 55
abiathar, 44
abib, 22
abida, 29
abidah, 27
abidan, 47
abide, 37
abided, 39
abides, 37
abideth, 34
abiding, 44
abiel, 14
abierta, -20
abiertas, -26
abierto, -4
abiertos, 5
abiezer, 47
abiezrite, 39
abiezrites, 19
abigail, 39
abigails, 30
abihail, 32
abihu, 58
abihud, 25
abiit, 27
abijah, 51
abijam, 59
abilene, 35
abilities, 49
ability, 45
abilityes, 48
abimael, 35
abimelech, 42
abin, 40
abinadab, 37
abindarr, 6
abindarraez, 38
abington, 78
abinoam, 6
abion, 29
abiram, 28
abire, 111
abirom, 53
abis, 104
abishag, 51
abishai, 39
abishalom, 48
abishua, 55
abishur, 36
abismo, -21
abismos, -18
abit, 65
abital, 43
abitub, 55
abiud, 121
abject, 51
abjectam, 103
abjecti, 60
abjection, 40
abjectly, 49
abjectness, 45
abjectnesses, 75
abjects, 67
abjectus, 24
abjicit, 88
abjur, 35
abjure, 34
abjured, 55
abjures, 43
abl, -27
abladen, -72
abland, -50
ablandaba, -44
ablandaban, -3
ablandado, -32
ablandan, -10
ablandar, -31
ablandara, -38
ablandarme, -44
ablandaron, -10
ablandarte, 3
ablande, -30
ablation, 38
ablative, 154
ablatum, 65
ablaze, 47
able, 38
ablecken, -37
ableeding, 30
ablege, -28
ablegte, -17
abler, 33
ablerus, 47
ablest, 43
ableugnen, -56
abloom, 32
ablossom, 10
abluted, 126
ablution, 27
ablutions, 40
ably, 54
abnahm, -37
abnegated, 57
abnegating, 6
abnegation, 56
abner, 41
abnormal, 56
abnormalities, 48
abnormality, 21
abnormally, 53
aboad, 43
aboard, 45
abobado, -19
abode, 42
aboded, 27
abodements, 37
abodes, 52
abodest, 61
aboding, 97
aboil, 40
abolengo, -49
abolish, 32
abolished, 51
abolishes, 97
abolishing, 52
abolisht, 100
abolition, 50
abolitionism, 17
abolitionist, 70
abolitionists, 41
aboll, 8
abollada, -44
abollado, 34
abomin, -18
abominable, 53
abominably, 52
abominado, -17
abominate, 43
abominated, 43
abominates, 41
abomination, 25
abominations, 31
abomino, 49
abonasen, -35
abono, -17
aboon, 45
aboord, 73
aboot, 28
aborde, 55
aboriginal, 46
aboriginally, 42
aboriginalness, 36
aborigines, 38
aboriri, 173
aborrascadas, -35
aborrec, -1
aborrece, -19
aborrecen, 35
aborreci, -41
aborrecible, 8
aborrecida, -18
aborrecido, -13
aborrecidos, 17
aborrecimiento, 1
aborrezco, 9
abort, -28
abortion, 57
abortions, 55
abortive, 66
abortives, 72
abou, 50
aboukir, 34
abound, 49
aboundance, 68
abounded, 60
aboundeth, 53
abounding, 54
aboundingly, 34
abounds, 64
about, 56
above, 49
aboveboard, 78
abovementioned, 51
abovesaid, 64
abr, 62
abra, 23
abrac, 30
abraded, 44
abraham, 44
abrahams, 55
abram, 46
abramoff, 73
abramovitz, 93
abramovna, 55
abran, 8
abras, 17
abrasa, -12
abrasada, -37
abrasadas, 28
abrasadores, 2
abrasados, -2
abrasan, -52
abrasar, 7
abrasarla, 19
abrasarnos, -20
abrasasen, -12
abrasemos, -27
abrasion, 63
abraz, -9
abrazaba, -27
abrazada, -5
abrazado, -15
abrazamiento, -32
abrazando, -37
abrazar, -26
abrazara, -57
abrazarle, -16
abrazarme, 13
abrazaron, -18
abrazarse, 39
abrazase, 40
abrazo, -19
abrazos, 1
abre, 8
abreast, 50
abreiben, -21
abrenuncio, 72
abrevi, 28
abrevian, -31
abreviar, -9
abrevies, 19
abri, 8
abrid, 6
abridg, 38
abridge, 44
abridged, 45
abridgement, 65
abridgements, 132
abridges, 36
abridging, 36
abridgment, 47
abridgments, 34
abriendo, 0
abriera, -6
abrieran, -2
abrieron, 19
abriese, 0
abriesen, -9
abrig, -35
abrigo, -32
abril, -59
abrines, 28
abrir, -13
abrirla, -45
abrirle, -15
abrirse, 4
abriste, -63
abro, 67
abroach, 67
abroad, 49
abroady, 112
abrogate, 61
abrogated, 38
abrogating, 54
abrogation, 6
abrojos, -6
abrook, 78
abrupt, 61
abrupta, 165
abrupted, 40
abruption, 43
abruptly, 52
abruptness, 47
abruptum, 107
abruzzi, 26
abruzzo, 31
abs, 20
absalom, 43
absatz, -49
absauste, -61
abscess, 37
abscheulich, -70
abschied, -54
abschleckt, -55
abschnellen, -43
abschnitt, -54
abschnurren, -41
abscindere, 119
abscission, 24
abscissum, 72
abscond, 51
absconded, 40
absconding, 81
abscondit, 53
absence, 43
absences, 72
absent, 49
absented, 57
absentee, 54
absentees, 50
absentem, 150
absentes, 46
absenting, 69
absently, 62
absentminded, 68
absentmindedly, 68
absentmindedness, 52
absents, 35
absey, 82
absicht, -61
absichten, -92
absichtlich, -66
absinthe, 54
absinthium, 106
absit, 44
absohitur, 64
absolut, -9
absoluta, -30
absolutamente, 49
absolute, 55
absolutely, 51
absolution, 55
absolutism, 76
absolv, 30
absolve, 42
absolved, 46
absolvent, 49
absolver, 32
absolves, 30
absolveth, 53
absolvieren, -74
absolviert, -30
absolvierten, -13
absolving, 59
absona, 157
absorb, 37
absorbed, 44
absorbent, 66
absorbing, 46
absorbingly, 40
absorbs, 40
absorption, 59
absorptions, 60
absortar, -6
absorto, 26
abstain, 57
abstaine, 46
abstained, 66
abstainer, 22
abstainers, 55
abstaining, 71
abstains, 44
abstanden, -81
abstemious, 40
abstemiousness, 19
abstengas, 10
absteni, -45
abstention, 79
abstiens, 22
abstinence, 53
abstinences, 38
abstinent, 60
abstinet, 98
abstract, 48
abstracted, 43
abstractedly, 58
abstracting, 38
abstraction, 41
abstractions, 37
abstractly, 75
abstractness, 58
abstracts, 56
abstreiten, -40
abstruse, 63
abstruseness, 40
abstrusest, 80
abstrusiosities, 76
absuelve, -13
absurd, 48
absurde, 29
absurdest, 17
absurdissimum, -7
absurditie, 35
absurdities, 42
absurdity, 41
absurdly, 49
absurdos, 18
absurdum, 73
absuzeln, -62
absyrtus, 48
abt, -89
abtrocknen, -59
abu, 51
abulafia, 68
abunda, -12
abundaba, 67
abundaban, 54
abundan, -30
abundance, 43
abundancia, -9
abundant, 50
abundante, -2
abundantemente, -9
abundantes, 9
abundantly, 53
abundosa, -17
abundoso, -2
abus, 32
abuse, 43
abused, 47
abuser, 34
abusers, 56
abuses, 53
abusing, 53
abusive, 61
abuso, 24
abusos, 68
abut, 38
abutment, 21
abuts, 36
abutted, 41
abutting, 31
abw, -77
abwaschen, -44
abwechselnd, -45
abwehrte, -60
abwischen, -64
aby, 33
abydeans, 67
abydos, 51
abysm, 59
abysmal, 37
abysmic, 23
abysms, 20
abyss, 37
abysse, 54
abysses, 34
abyssinia, 36
abyssinian, 34
abyssinians, 27
abzub, -108
abzugeben, -41
abzuluchsen, -48
abzumachen, -25
abzustreifen, -40
abzut, -15
abzuwarten, -93
abzuwehren, -84
abzuwichsen, -77
abzuwischen, -60
ac, 99
aca, -23
acab, -15
acaba, 5
acababa, -9
acababan, -20
acabable, -28
acabad, -22
acabada, -6
acabadas, 0
acabadme, -32
acabado, -7
acabados, 16
acaballa, 7
acaballe, -34
acabamiento, -7
acabamos, 29
acaban, -19
acabando, -8
acabar, -16
acabara, 20
acabare, -25
acabaremos, -40
acabarla, 32
acabarle, -17
acabaron, 11
acabarse, -7
acabas, 38
acabase, 0
acabasen, -30
acabaste, 12
acabe, -4
acaben, -13
acabo, -13
acacia, 35
acacias, 42
acad, 67
academe, 14
academes, 43
academia, 146
academias, -41
academic, 62
academical, 48
academically, 28
academician, 72
academicians, 55
academics, 38
academie, 57
academies, 41
academiques, 54
academus, 61
academy, 37
acadian, 54
acaece, 7
acaecen, 47
acaeci, 18
acaecido, -52
acaecimiento, -36
acaecimientos, -27
acamas, 67
acamuzado, -15
acanaladas, -5
acant, 87
acanthus, 63
acanthuslike, 78
acardenalado, -29
acardenalarme, 46
acardiac, 36
acariciar, -44
acariciase, -19
acarrea, -31
acarrean, -63
acarus, 67
acaso, -10
acastus, 57
acatalectic, 40
acatamiento, 6
acause, 36
