0, HA, HNL, 200401,12.773598,91,421
0, HA, HNL, 200509,7.1140103,102,882
0, HA, HNL, 200806,20.121168,200,1044
0, HA, HNL, 201103,38.58717,289,1012
0, HA, HNL, 201211,30.174038,261,1004
0, HA, HNL, 201508,39.46575,321,893
0, HA, ITO, 200403,0.4666667,3,27
0, HA, ITO, 200511,0.11764707,2,28
0, HA, ITO, 200808,0.7765133,13,83
0, HA, ITO, 201105,3.105883,35,144
0, HA, ITO, 201402,1.8759732,22,122
0, HA, ITO, 201510,2.5005083,23,162
0, HA, JFK, 201410,0.07130435,5,15
0, HA, KOA, 200504,0.3488372,2,84
0, HA, KOA, 200612,1.6324081,15,148
0, HA, KOA, 200801,2.7119284,25,180
0, HA, KOA, 200909,4.8394856,56,221
0, HA, KOA, 201206,6.3003755,51,161
0, HA, KOA, 201503,8.380381,61,183
0, HA, LAS, 200508,0.12923077,12,24
0, HA, LAS, 201210,0.22310925,10,47
0, HA, LAS, 201507,0.2750213,16,42
0, HA, LAX, 200404,0.33870968,14,19
0, HA, LAX, 201106,0.31076923,13,21
0, HA, LAX, 201403,0.13015874,7,20
0, HA, LIH, 200406,5.6995606,39,197
0, HA, LIH, 200703,6.486489,59,203
0, HA, LIH, 200811,8.242926,56,312
0, HA, LIH, 201108,7.6502686,56,257
0, HA, LIH, 201405,6.5028696,57,251
0, HA, MKK, 200406,0.25,2,12
0, HA, OAK, 201404,0.1409836,6,8
0, HA, OGG, 200502,4.5816517,44,231
0, HA, OGG, 200610,6.3654876,68,360
0, HA, OGG, 200907,8.946567,74,445
0, HA, OGG, 201204,9.26613,83,415
0, HA, OGG, 201312,15.179009,139,603
0, HA, OGG, 201501,30.546675,194,560
0, HA, PDX, 201210,0.24242423,12,27
0, HA, PHX, 200402,0.042857144,2,27
0, HA, PHX, 200510,0.14705883,9,28
0, HA, PHX, 201509,0.19718307,11,24
0, HA, SAN, 201004,0.26666668,13,22
0, HA, SEA, 200407,0.115624994,8,23
0, HA, SEA, 200704,0.050746266,4,22
0, HA, SEA, 201109,0.14925373,7,26
0, HA, SEA, 201406,0.24927537,16,50
0, HA, SMF, 201306,0.06349207,4,27
1, EKO, OO, 200505,2.0517218,23,57
1, EKO, OO, 200802,4.654885,42,101
1, EKO, OO, 200910,2.4312434,26,69
1, EKO, OO, 201207,0.34848487,3,16
1, EKO, OO, 201504,0.58748114,5,33
1, GEG, AS, 199108,4.4727263,34,46
1, GEG, AS, 199405,4.273481,42,81
1, GEG, AS, 199702,6.3790174,49,83
1, GEG, AS, 199810,6.167675,53,95
1, GEG, AS, 200107,6.9752707,70,108
